Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_LogoutTS,Chrome 64.0.3282.167,,2018-03-22 16:22:02,2018-03-22 16:22:41,"39,307s",FAILED
,,,,,,
Test Cases/Login/LoginTC,Chrome 64.0.3282.167,,2018-03-22 16:22:02,2018-03-22 16:22:40,"37,651s",FAILED
openBrowser,Chrome 64.0.3282.167,,2018-03-22 16:22:03,2018-03-22 16:22:07,"4,038s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-22 16:22:07,2018-03-22 16:22:08,"1,184s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-22 16:22:08,2018-03-22 16:22:40,"31,728s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:22:40,2018-03-22 16:22:40,"0,152s",FAILED
,,,,,,
Test Cases/LogOut/LogOutTC,Chrome 64.0.3282.167,,2018-03-22 16:22:40,2018-03-22 16:22:40,"0,386s",FAILED
click,Chrome 64.0.3282.167,,2018-03-22 16:22:40,2018-03-22 16:22:40,"0,047s",FAILED
